concurrency,reqs_sec,throughput_mbs,lat_avg_ms,lat_stddev_ms,lat_max_ms,p50_ms,p75_ms,p90_ms,p95_ms,p99_ms,success_2xx,error_timeout,error_others
1,37.18,0.08,26.89,3.79,111.32,0.0,0.0,0.0,0.0,0.0,0,0,0
2,37.31,0.08,54.74,229.24,2063.76,0.0,0.0,0.0,0.0,0.0,0,10,0
4,39.71,0.08,105.7,377.46,2101.16,0.0,0.0,0.0,0.0,0.0,0,30,0
6,42.44,0.08,150.33,465.53,2196.68,0.0,0.0,0.0,0.0,0.0,0,50,0
8,44.1,0.09,191.88,525.05,2132.88,0.0,0.0,0.0,0.0,0.0,0,70,0
10,64.97,0.14,153.07,434.76,2138.98,0.0,0.0,0.0,0.0,0.0,0,70,0
12,168.2,0.36,71.24,32.8,850.08,0.0,0.0,0.0,0.0,0.0,0,0,0
14,172.15,0.36,81.22,40.24,995.23,0.0,0.0,0.0,0.0,0.0,0,0,0
16,173.11,0.37,92.24,48.05,1140.79,0.0,0.0,0.0,0.0,0.0,0,0,0
18,174.32,0.37,102.85,123.49,2657.91,0.0,0.0,0.0,0.0,0.0,0,10,0
20,8.97,0.02,2132.87,220.59,3307.57,0.0,0.0,0.0,0.0,0.0,0,199,0
24,1604.53,0.37,14.94,100.59,3572.53,0.0,0.0,0.0,0.0,0.0,0,55,0
32,2155.26,0.49,14.83,1.32,27.73,0.0,0.0,0.0,0.0,0.0,0,0,0
48,2146.49,0.49,22.34,2.66,50.4,0.0,0.0,0.0,0.0,0.0,0,0,0
64,2105.22,0.48,30.37,3.1,62.22,0.0,0.0,0.0,0.0,0.0,0,0,0
